stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,Class
2,9989,9985,3.1,3.3,2.3,2
2,6351,10001,3.1,3.4,2.2,2
20,8342,8635,2.75,3.3,2.5,2
20,9993,9991,3.5,3.3,2.1,0
20,9997,8203,2.38,3.25,2.75,2
20,10000,10001,2.05,3.3,3.6,1
20,9994,9984,1.91,3.25,3.75,1
20,8571,9985,2.8,3.25,2.5,1
20,9989,9987,5.5,4,1.57,0
20,6351,9986,1.91,3.4,4,1
21,8635,9989,1.17,7,15,1
21,9991,8342,2,3.5,3.5,2
21,9987,9997,1.33,4.5,8,0
21,9986,9993,2.75,3.2,2.38,1
21,8203,8571,2,3.2,3.5,1
21,6351,10000,2.7,3.1,2.5,2
21,10001,9994,2.2,3.3,3.2,2
21,9984,9985,3.2,3.25,2.25,1
22,8342,9986,1.2,6.5,13,1
22,9985,8203,1.62,3.6,5,1
22,9993,6351,1.95,3.5,3.75,0
22,9997,9984,2.4,3.25,2.75,2
22,10000,9991,3.2,3.4,2.2,0
22,9994,9987,3.3,3.5,2.1,0
22,8571,8635,3.8,3.6,1.91,2
22,9989,10001,2.88,3.2,2.5,1
23,8635,9985,1.62,3.9,5.25,1
23,9991,9994,1.73,3.5,5,1
23,9987,8571,1.5,4.1,6.5,1
23,9993,10000,2.63,3.25,2.63,1
23,9986,8203,3.5,3.4,2.05,0
23,6351,8342,4.75,3.6,1.73,2
23,10001,9997,1.83,3.4,4.4,1
23,9984,9989,1.53,3.8,6.5,1
24,8342,9993,1.44,4.33,7,1
24,9985,10001,1.57,3.8,6,1
24,9997,9991,4,3.4,1.91,0
24,10000,9987,3.5,3.6,2,2
24,9994,6351,1.57,3.8,6,2
24,8571,9984,1.95,3.5,3.8,1
24,8203,8635,4.75,3.75,1.7,0
24,9989,9986,1.91,3.4,4,1
25,8635,9997,1.2,6,11,1
25,9991,9989,1.29,5,11,1
25,9987,8342,2.25,3.25,2.9,1
